"Reference","Value","Qty","DNP","MPN"
"C201,C202,C203,C204,C302,C305,C404,C415,C504,C515,C604,C615","1u","12","",""
"C205,C304,C306,C405,C406,C409,C410,C411,C412,C413,C505,C506,C509,C510,C511,C512,C513,C605,C606,C609,C610,C611,C612,C613","100n","24","",""
"C301,C401,C501,C601","47u","4","",""
"C303","2.2u","1","",""
"C307,C402,C403,C502,C503,C602,C603","10u","7","",""
"C407,C414,C507,C514,C607,C614","10n","6","",""
"C408,C508,C608","4.7u","3","",""
"C416,C516,C616","100p","3","",""
"C417,C418,C419,C420,C517,C518,C519,C520,C617,C618,C619,C620","22u","12","",""
"C421,C521,C621","47u","3","DNP",""
"D201,D202,D203,D204","24V","4","",""
"D205,D206","D_Schottky_Small","2","",""
"D301,D302","40V 2A","2","",""
"D303","11V","1","",""
"J201,J302","Conn_01x04_Socket","2","",""
"J202","12401826E412A","1","","12401826E412A"
"J203","USB IDC","1","",""
"J301","Conn_01x02_Socket","1","",""
"L301","10u","1","",""
"L401,L501,L601","1u","3","",""
"R201,R202","2.2k","2","",""
"R203,R204,R207,R209,R407,R507,R607","100k","7","",""
"R205","470","1","",""
"R206,R211","1k","2","",""
"R208","22k","1","",""
"R210","100","1","",""
"R301","80.6k","1","",""
"R302","95.3","1","",""
"R303,R313","10k","2","",""
"R304","40.2k","1","",""
"R305","47.5k","1","",""
"R306","35k","1","",""
"R307","27.4k","1","",""
"R308","31.6k","1","",""
"R309,R310","65k","2","",""
"R311,R312","105k","2","",""
"R314","1M","1","",""
"R315,R406,R506,R606","20m","4","",""
"R401,R501,R601","9.31k","3","",""
"R402,R502,R602","150k","3","",""
"R403,R503,R603","8.06k","3","",""
"R404,R405,R504,R505,R604,R605","10","6","",""
"SW201","SW_SPST","1","",""
"TP201,TP202,TP203,TP204","TestPoint","4","",""
"U201","USBLC6-2SC6","1","",""
"U202","STUSB4500QTR","1","",""
"U203,U204,U302","~","3","","SISA35DN-T1-GE3"
"U301","~","1","","MP2759GQ-0000-Z"
"U401,U501,U601","~","3","","TPS552872RYQR"
